Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
CASTILLO et al., 2002|s.ALAR1-1B|1.25|0.25|23.6165|-108.6883|MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL PROVINCE) / ALARCON RISE / ALARCON SEAMOUNT|RIFT VOLCANICS|49.4|1.4|16.35||9.39|0.17|7.84|12.03|3.09|0.12||0.18||||1|0.8|48.1181027971387|1.21432990735414|14.127237313229|0|1.80123707703918|7.95873433686112|0.173045822678182|13.2526707081881|10.4283511312035|2.66732710928965|0.103585518807365|0|0.155378278211047|1322.09481788415|1389.27318665861|0.907804947916342|0.137756236636818|2.7|1.6|Spinel Peridotite
BENCE et al., 1974|s.150-11-1-96|82.25|16.75|14.5115|-69.3558|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 150 / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|1.05|15.8|0|9.8|0|8.54|12|2.48|0.09||||||1|0.8|48.7820724319932|0.890620970044961|13.3448823988183|0|1.83705092878961|8.24400540086505|0|14.5640946792004|10.1693656401403|2.09198860870327|0.0759189414448768|0|0|1342.15486603003|1423.71562810386|0.910801975830194|0.248113909070602|3.2|1.2|Harzburgite
BENCE et al., 1974|s.150-11-2-75|82.25|16.75|14.5115|-69.3558|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 150 / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|1.05|15.6|0|9.82|0|8.86|11.7|2.46|0.11||||||1|0.8|48.9288213895033|0.899931826986532|13.3170119126738|0|1.8606042891517|8.22916532768408|0|14.5543092822374|10.0189249530219|2.09744292066287|0.0937880980784208|0|0|1342.61601414313|1423.45970030262|0.91072567843928|0.252851474235233|3.2|1.2|Harzburgite
BENCE et al., 1974|s.15-146-43-1-84|82.25|16.75|15.1165|-69.3778|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 146 / PACIFIC OCEAN|OCEANIC PLATEAU|50.4|0.98|15|0|10.2|0|9.13|12.1|2.28|0.08||||||1|0.8|48.6891539279699|0.827279664840648|12.6083361007799|0|1.90253339505466|8.50971335752854|0|15.2784039068888|10.2037066414982|1.91372476796675|0.0671482374725176|0|0|1354.96668319537|1442.35426315789|0.911898653476776|0.263369627905641|3.4|1.3|Harzburgite
BENCE et al., 1974|s.150-11-1-9|83|17|14.5115|-69.3558|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 150 / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|1.05|15.8|0|9.8|0|8.54|12|2.48|0.09||||||1|0.8|48.7820724319932|0.890620970044961|13.3448823988183|0|1.83705092878961|8.24400540086505|0|14.5640946792004|10.1693656401403|2.09198860870327|0.0759189414448768|0|0|1342.15486603003|1423.71562810386|0.910801975830194|0.248113909070602|3.2|1.2|Harzburgite
BENCE et al., 1974|s.150-11-2-7|83|17|14.5115|-69.3558|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 150 / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|1.05|15.6|0|9.82|0|8.86|11.7|2.46|0.11||||||1|0.8|48.9288213895033|0.899931826986532|13.3170119126738|0|1.8606042891517|8.22916532768408|0|14.5543092822374|10.0189249530219|2.09744292066287|0.0937880980784208|0|0|1342.61601414313|1423.45970030262|0.91072567843928|0.252851474235233|3.2|1.2|Harzburgite
BENCE et al., 1974|s.15-146-43-|83|17|15.1165|-69.3778|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 146 / PACIFIC OCEAN|OCEANIC PLATEAU|50.4|0.98|15|0|10.2|0|9.13|12.1|2.28|0.08||||||1|0.8|48.6891539279699|0.827279664840648|12.6083361007799|0|1.90253339505466|8.50971335752854|0|15.2784039068888|10.2037066414982|1.91372476796675|0.0671482374725176|0|0|1354.96668319537|1442.35426315789|0.911898653476776|0.263369627905641|3.4|1.2|Harzburgite
ELY and NEAL, 2003|s.SGB25|122|0|-8.595|-161.35|ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / KWAIMBAITA FORMATION / PACIFIC OCEAN|OCEANIC PLATEAU|49|0.93|14.8||11.34|0.21|7.86|13.2|1.51|0.05||0.1|0.182|3.7|0.25|1|0.8|47.0313135885974|0.699001530536091|11.0460623970506|0|1.87504260258917|9.67651508534123|0.208212305810639|18.3257781781334|9.90292720071216|1.12353743250383|0.0372032262418487|0|0.0744064524836973|1406.99700430515|1520.90718764455|0.917362435731191|0.294340088730406|4|2|Harzburgite
ALT and HONNOREZ 1984|s.51-417A-43|109|0|25.112|-68.047|BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN|OCEANIC PLATEAU|48.04|1.35|15.55||9.367|0.17|5.85|12.94|2.13|0.11||0.19|5|||1|0.8|47.7984228873418|1.0872631690609|12.4386739990973|0|1.66159803406947|8.74424922561333|0.183106602162818|15.7358777667478|10.411065121442|1.70026872601215|0.0878073050992191|0|0.151667163353197|1361.05923389221|1454.24620480542|0.913020723187236|0.253033358732128|3.4|1.6|Harzburgite
ALT and HONNOREZ 1984|s.52-417D-31|109|0|25.112|-68.047|BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN|OCEANIC PLATEAU|47.36|1.4|16.49||9.408|0.16|5.86|12.59|2.26|0.18||0.13|11|||1|0.8|47.2684987024746|1.13693441536239|13.3036146074512|0|1.68339569206223|8.73754702050865|0.172369359285771|15.4134273074162|10.2148600915806|1.81974215436574|0.14493521583444|0|0.104675433658206|1357.18520607238|1445.86782671778|0.912113433366277|0.212190806835942|3.4|1.8|Spinel Peridotite
ALT and HONNOREZ 1984|s.52-417D-35|109|0|25.112|-68.047|BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN|OCEANIC PLATEAU|47.59|1.32|16.9||9.314|0.13|5.44|12.44|2.29|0.61||0.12|21|||1|0.8|47.2363642441419|1.05588424626648|13.425662986772|0|1.64092640421706|8.74295933054976|0.140869772230535|15.4200467216042|9.94302069046995|1.81551928231231|0.483609939829916|0|0.0951363816058851|1360.68447853033|1446.03999760258|0.912214400870007|0.211136903498078|3.4|1.8|Spinel Peridotite
ALT and HONNOREZ 1984|s.52-417D-62|109|0|25.112|-68.047|BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN|OCEANIC PLATEAU|47.89|1.42|17.01||9.26|0.15|5.71|13.18|2.23|0.04||0.12||||1|0.8|47.3068046118493|1.15220486076206|13.7145796727866|0|1.65614659478163|8.56341185077946|0.16091155773843|14.8357739500772|10.6866402676533|1.79475497609435|0.0321929143694054|0|0.0965787431082161|1342.98477783103|1430.81471912159|0.910678303133059|0.184482920163296|3.2|1.8|Spinel Peridotite
ALT and HONNOREZ 1984|s.52-417D-68|109|0|25.112|-68.047|BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN|OCEANIC PLATEAU|49.97|1.38|14.95||9.196|0.18|7.26|11.99|2.28|0.06||0.13||||1|0.8|49.3267906596758|1.17543442142984|12.6705651313289|0|1.72954129063248|8.1628295175857|0.18820848652697|14.4524626373241|10.2037098905788|1.92965350607756|0.0507803554230938|0|0.110024103416703|1337.04491277203|1420.79504261968|0.910217483439534|0.258914708505872|3.2|1.1|Harzburgite
SMITH et al.,2003|s.45627|0.003|0.003|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|49.65|0.64|18.43||9.523|0.19|5.71|12.79|1.65|0.59||0.12|9|3||1|0.8|47.5630331476594|0.491511907807993|14.053954241468|0|1.61025261076164|8.70222726079158|0.198662162654836|15.7711436483553|9.81346969588832|1.25549990915732|0.448936331153224|0|0.0913090843023507|1361.66235174083|1455.16147469689|0.913257876812704|0.269804124085054|3.4|1.6|Harzburgite
SMITH et al.,2003|s.45654|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|48.51|0.61|19.81||8.722|0.17|5.71|13.32|1.66|0.4||0.08|7|6||1|0.8|47.3027126812664|0.503797424425299|16.2715736952033|0|1.58982032015398|7.94085570972696|0.180413464944518|13.4583550743142|10.9971437598572|1.36160946933619|0.328098667309926|0|0.0656197334619852|1311.55853085326|1394.69426013565|0.908612080541167|0.179080759151902|2.8|1.8|Spinel Peridotite
