Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
AITKEN and ECHEVERRIA 1984|s.GOR-146|105.5|39.5|3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|46.6|0.61|12.4|0.2|11.5||17.1|10.5|1.06|0.07||||||1|0.9|46.114632923604|0.566284906592651|11.4971535263602|0.190637866001646|1.18327758288866|10.2020090494586|0|19.4568870373527|9.74268814965654|0.981605925283285|0.064823032801726|0|0|1423.97253970953|1549.66705120081|0.919305084801251|0.279811233571523|4.5|3.5|Spinel Peridotite
AITKEN and ECHEVERRIA 1984|s.GOR-149|105.5|39.5|3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|46.5|0.58|12.1|0.16|11.3||18|10.3|1.07|0.08||||||1|0.9|46.215480713777|0.559809044449018|11.6722894802386|0.156298531167437|1.21047696297278|10.0857233026424|0|19.0520110433816|9.93919972077213|1.03158346490512|0.077127735693841|0|0|1416.96393479523|1539.39726935775|0.918461276992817|0.268914863492242|4.2|3|Spinel Peridotite
FLOYD and CASTILLO 1992|s.129-801C-6|169|5|18.6423|-156.3598|PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN|OCEAN-BASIN FLOOD BASALT|46.43|0.98|16.32||8.186|0.14|9.67|11.48|2.16|0.05||0.05|4|2|0.06|1|0.9|47.9933678974576|0.951177219748006|15.80812544813|0|0.880529060365495|7.88911629083775|0.147020173314374|13.0053874030437|11.1373995112769|2.09106827919683|0.048404358314741|0|0.048404358314741|1301.91845273882|1382.74631120078|0.906723563932523|0.12002869266101|2.6|1.6|Spinel Peridotite
PIN and PAQUETTE 1997|s.BEL1|362|4|45.79|4.5|EUROPEAN OROGENIC BELT - PALEOZOIC / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES|INTRAPLATE VOLCANICS|49.1|0.6|15.4||8.775|0.12|8.6|11.9|3.3|0.8|||31|1||1|0.9|48.5321440942583|0.529725151656319|13.5466803201434|0|0.856791121602052|8.34930356530308|0.122650396228395|13.9612026990424|10.4985861404137|2.89990841157618|0.703008099776043|0|0|1339.7709213262|1407.9175220051|0.908779529552486|0.122229116136242|3|1.4|Spinel Peridotite
XU et al., 2003|s.X-38-1|380|0|47.85|88.2|CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE|INTRAPLATE VOLCANICS|46.83|1.01|16.94||9.05|0.16|10.51|11.28|1.75|0.12||0.08|0|0.6|0.04|1|0.9|47.1357537329313|0.930889316962649|15.5721045791375|0|0.923511257473178|8.49560199838334|0.16294381212954|14.5991867511212|10.389111030463|1.60721572433178|0.110209078239893|0|0.073472718826595|1332.98507742888|1424.63329576336|0.910183415128424|0.171622841914319|3.2|1.9|Spinel Peridotite
GREENFIELD et al., 2011|s.67014|515|27|-31.2721246|142.7092566|AUSTRALIA / SOUTH AUSTRALIAN CRATON / NEW SOUTH WALES / WONOMINTA BLOCK - PONTO GROUP|INTRAPLATE VOLCANICS|46.14|1.67|15.87||9.48|0.16|8.28|11.94|2.24|0.65||0.21|14|6|0|1|0.9|46.3881454194359|1.42450317192855|13.4708238446268|0|0.892621526780502|9.21244811647803|0.165418524470206|15.6460476542377|10.1729726917073|1.89823312024208|0.550826575070247|0|0.177959355022695|1362.71600027571|1451.91386310651|0.910556454034791|0.109443101221351|3.3|2.2|Spinel Peridotite
CRAWFORD and KEAYS  1987|s.G8|515|27|-36.25|145.75|AUSTRALIA / TASMAN OROGEN / VICTORIA / MELBOURNE TERRANE - MOUNT WELLINGTON GREENSTONE BELT|INTRAPLATE VOLCANICS|49.1|0.68|16.2||9.32|0.2|9.34|12.3|2.42|0.34||0.13|5|||1|0.9|47.7744347612563|0.581078610839626|13.7881187286495|0|0.880217985518481|8.69163844344998|0.199558879372688|15.1280369122034|10.5004275023864|2.0569900992052|0.288998608979244|0|0.110499468139123|1351.30555731285|1438.43782562039|0.911095933514688|0.186397764654328|3.3|1.6|Spinel Peridotite
ETXEBARRIA  et al., 2006|s.EG-FR-1|515|27|38.32|-6.77|EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN|INTRAPLATE VOLCANICS|46.65|1.17|18.01||8.74|0.18|8.05|12.02|2.22|0.17||0.11||||1|0.9|46.7851779960924|1.02811266075119|15.7605146035985|0|0.848827399643612|8.5014723451894|0.186885651553513|14.1500030836182|10.5538098645896|1.94045439872762|0.14859335485752|0|0.096148641378395|1327.7379208289|1412.8713908611|0.908426258962297|0.104328402922244|3|2|Spinel Peridotite
SQUIRE et al., 2006|s.ST80|515|27|-37.0572|142.7898|AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP|INTRAPLATE VOLCANICS|47.8|1.03|15.3||8.514|0.14|8.06|11.7|2.78|0.33||0.09|7.4|0.8||1|0.9|48.4403443229898|0.914734920823394|13.5300504176524|0|0.835526439335216|8.41694274492486|0.147427197064822|14.5070332305572|10.3816356464486|2.45535253842696|0.291462711396006|0|0.079489830380729|1341.68738402497|1422.22301328913|0.910274112844563|0.183162477069323|3.2|1.4|Spinel Peridotite
FIORENTINI et al., 2011|s.WP-92|2000|0|69.1|25|BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KARASJOK GREENSTONE AREA|INTRAPLATE VOLCANICS|47|1.13|7.86|0.01|12.252|0.21|22.02|8.84|0.42|0.05||0.08||||1|0.9|46.7994674924395|1.09343093829479|7.60324819639812|0.009781366523743|1.31581195297097|10.9083324868729|0.207215165767936|22.9783618913801|8.55274186037979|0.405955695578703|0.048328058997465|0|0.077324894395943|1476.3466709226|1637.82872041573|0.926134827648488|0.3937840455581|7|4|Harzburgite
BARNES and OFTEN  1990|s.DAT3/2|2435|5|69.5|25|BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / KARASJOK GREENSTONE BELT|INTRAPLATE VOLCANICS|46.11|1.3|9.18||12.33|0.21|17.35|10.49|1.41|0.1||0.15|0||0.16|1|0.9|46.052555638628|1.17686058480961|8.29660302681087|0|1.23553315668557|10.951904870685|0.204866391784288|21.0948234748389|9.48978348342342|1.27160711746471|0.090184901947852|0|0.135277352921778|1456.99368185133|1590.93265887589|0.920525556272824|0.262725768888151|5.1|4|Garnet Peridotite
CORREA DA COSTA and GIRARDI  2005|s.CR12|2490|0|-14.67|-50.02|AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.4|1.1|12.17||12.2|0.19|9.78|11.74|1.66|0.24||0.11|2|4||1|0.9|46.8670374781095|0.751916299302873|8.25738614786742|0|0.914263302931778|10.9369248526515|0.176272354385845|22.7361238888005|8.00441804070178|1.11959784801646|0.161869568387921|0|0.074190218844464|1481.12963911052|1631.8309115428|0.92492383053423|0.37590324756996|6.5|3|Harzburgite
CATTELL  1987|s.72|2690|-10|48.47|-81.4|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / LOWER KOMATIITES|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.72|0.46|7.41|0.43|11.48|0.26|23.53|7.92|0.25|0.1||0.02|11|2.3||1|0.9|47.5027434405377|0.478497912756427|7.70946509732613|0.443556783390779|1.32801743727542|10.567344805596|0.266432790055088|23.0795389882294|8.23918514325399|0.260282163229067|0.104112865291627|0|0.020822573058325|1479.98767159453|1640.33094499099|0.927425719697627|0.451549104277639|7|3|Harzburgite
PUCHTEL et al., 2009|s.TN2|2700|0|-20.35|30.03|ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.1|0.41|8.08||11.61|0.21|20.2|8.48|1.05|0.095||0.021||||1|0.9|48.2680362434129|0.384545599036271|7.57158781293378|0|1.20662045972906|10.3856890363138|0.206926884173267|22.9355195082264|7.95043921893105|0.982132932337608|0.088859646259117|0|0.019642658646752|1481.42125327126|1636.76866130585|0.927381756891234|0.468592499526518|7|2.5|Harzburgite
ARNDT 1986|s.M668|2700|0|48.47|-81.4|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / UPPER SOUPERGROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.8|0.44|8.6||11.43|0.16|23.5|7.8|0.09|0.04|||4.72|0.69||1|0.9|47.0794438883915|0.475576221489132|9.29965127180195|0|1.37532518926556|10.7141057290201|0.167309464395939|22.3154231240942|8.43238379295531|0.097463989790473|0.043317328795766|0|0|1462.64614115656|1621.39094017568|0.924665375875968|0.38976689322537|6|2.8|Harzburgite
