Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
boninite Quebec|2770|1364.35948480723|0.730680631446314|52.92|0.21|11.81|8.8|0.17|12.75|5.8|3.05|0.23
boninite Quebec|2770|1446.45958162627|1.32992948709606|49.5|0.37|13.7|10.2|0.2|13|6.1|1.5|0.8
boninite Quebec|2770|1400.75262251014|1.23469104307128|51.13|0.24|13.36|9.47|0.18|13.07|4.44|4|0.22
boninite Quebec|2770|1509.60883413263|1.51767250818821|48.28|0.22|10.48|10.29|0.2|15.74|8.38|1.26|0.45
Youanmi Group 1, Yilgarn|2780|1479.40414691804|1.61642142800525|53.59|0.95|11.57|11.5571557155716|0.16|8.87|7.96|3.85|0.15
Youanmi Group 1, Yilgarn|2780|1440.56601172048|1.29242591657982|53.24|1.02|11.78|10.5400540054005|0.18|9.02|9.67|3.12|0.14
Youanmi Group 1, Yilgarn|2780|1473.80668360584|1.55756923364141|51.95|1.2|11.32|11.1251125112511|0.19|10.21|9.78|2.76|0.13
Youanmi Group 1, Yilgarn|2780|1473.72022378281|1.55259793706751|51.92|1.2|11.17|11.0981098109811|0.2|10.27|9.98|2.75|0.1
Youanmi Group 1, Yilgarn|2780|1450.41348160127|1.12199891322829|53.06|0.85|9.67|10.6210621062106|0.17|13.92|8.06|2.32|0.08
Youanmi Group 1, Yilgarn|2780|1478.13060177438|1.34877542111786|51.81|0.83|9.59|10.999099909991|0.2|14.4|8.81|1.9|0.12
Youanmi Group 1, Yilgarn|2780|1542.90420560514|1.71868907779368|50.31|0.82|9.54|11.4131413141314|0.19|16.19|8.34|1.62|0.24
Youanmi Group 1, Yilgarn|2780|1552.24658108781|1.83894951858284|49.62|0.83|9.42|11.4311431143114|0.19|16.47|9.02|1.51|0.17
Youanmi Group 1, Yilgarn|2780|1564.86349414558|1.49127886297922|50.67|0.86|8.71|11.7371737173717|0.19|17.54|8.37|0.52|0.01
Youanmi Group 1, Yilgarn|2780|1685.34459992741|3.03244568710346|47.22|0.8|6.19|12.4302430243024|0.19|23.63|7.49|0.59|0
Youanmi Group 1, Yilgarn|2780|1768.80094493204|3.48429536854354|45.7|0.56|4.33|11.3411341134113|0.17|30.78|5.32|0.47|0.01
Youanmi Group 1, Yilgarn|2780|1838.63559731182|4.21008633720042|45.82|0.53|4.52|12.4032403240324|0.13|31.73|3.18|0.28|0
Youanmi Group 1, Yilgarn|2780|1786.97220882653|3.23077868625472|46.11|0.57|4.37|11.5031503150315|0.15|32.5|3.37|0.09|0.01
Youanmi Group 1, Yilgarn|2780|1640.99151459742|1.77415058483566|46.57|0.3|5.57|9.51395139513951|0.15|32.64|3.9|0.23|0.06
Youanmi Group 2, Yilgarn|2780|1521.37889381083|2.04200442861557|51.97|1.02|12.27|12.2952295229523|0.15|8.19|9.21|3.11|0.34
Youanmi Group 2, Yilgarn|2780|1494.05260235703|1.70862107436066|52.76|1.41|10.95|11.6741674167417|0.19|8.19|10.16|2.92|0.37
Youanmi Group 2, Yilgarn|2780|1316.86696344852|0.604081472026427|52.12|0.64|14.86|7.60576057605761|0.13|8.55|13.03|1.97|0.17
Youanmi Group 2, Yilgarn|2780|1390.74193556785|0.699118109341835|53.23|0.46|11.85|9.32493249324932|0.15|14|8.24|1.6|0.05
Youanmi Group 3, Yilgarn|2780|1371.5541639684|0.884585620301647|50.69|0.42|14.31|8.64986498649865|0.15|9.5|13.49|1.59|0.17
Youanmi Group 3, Yilgarn|2780|1430.64224246666|1.16803527235572|53.8|0.65|11.62|10.4590459045905|0.14|10.8|7.9|3.15|0.24
Youanmi Group 3, Yilgarn|2780|1384.1210545037|0.378109070705132|54.02|0.47|7.16|8.98289828982898|0.15|14.31|12.5|1.16|0.2
Kalikorva Stucture, N Karelia|2785|1584.64072680785|3.35774356279393|47.05|1.04|14.45|12.8892889288929|0.28|8.17|10.87|2.71|0.81
Kalikorva Stucture, N Karelia|2785|1527.99375988981|2.38250816299308|48.5|0.99|15.86|11.980198019802|0.19|8.25|10.43|2.2|0.23
Kalikorva Stucture, N Karelia|2785|1578.21893595198|2.82949033001335|48.02|0.94|14.31|12.961296129613|0.22|8.72|11.32|1.74|0.24
Kalikorva Stucture, N Karelia|2785|1544.83435406957|2.50208747842316|48.94|0.93|15.11|12.4752475247525|0.17|8.97|9.27|2.51|0.18
Kalikorva Stucture, N Karelia|2785|1504.56157229195|2.11795154815275|48.33|0.75|13.09|11.2601260126013|0.24|11.19|11.26|1.3|1.08
Kalikorva Stucture, N Karelia|2785|1530.72843763442|2.59323904609949|45.9|0.74|12.2|11.1071107110711|0.22|11.63|14.62|1.25|0.89
Kalikorva Stucture, N Karelia|2785|1588.21603381811|2.79374554474256|47.32|0.58|11.4|12.5922592259226|0.27|14.48|10.59|1.23|0.12
Kalikorva Stucture, N Karelia|2785|1599.493736118|2.53357907970435|47.54|0.51|11.45|12.1962196219622|0.23|15.1|10.3|1.1|0.21
Kalikorva Stucture, N Karelia|2785|1575.97483510606|2.59665457495069|46.21|0.75|11.7|11.3681368136814|0.22|15.97|10.6|1.09|0.62
Kalikorva Stucture, N Karelia|2785|1637.30510852631|2.8027110469278|46.86|0.38|8.11|12.2592259225923|0.23|17.46|11.42|1.02|0.04
Vizien gst, Quebec|2790|1437.9312602513|1.27352617265252|51.6|0.99|12.6|10.2610261026103|0.19|8.43|9.6|1.9|0.93
Vizien gst, Quebec|2790|1268.87187844364|0.503382660443745|51.08|0.37|17.46|6.51665166516652|0.12|9.57|11.18|1.92|0.04
Vizien gst, Quebec|2790|1345.22853626132|0.687538800578822|52.4|0.52|11.9|8.20882088208821|0.18|12.1|8.88|2.7|0.06
Geita-Sukumaland gst, Tanzania|2820|1530.6546386276|2.28383487300901|48.2|0.988|15|11.8811881188119|0.189|7.76|10.6|2.06|0.092
Geita-Sukumaland gst, Tanzania|2820|1378.58417097729|1.19115470841728|48.66|0.73|16.61|8.56885688568857|0.181689714343394|8.36|12.84|2.01|0.070657111133542
Geita-Sukumaland gst, Tanzania|2820|1444.11913442057|1.0769730365379|51.4|0.82|13.67|10.3600360036004|0.153783063358622|8.7|9.9|1.19|0.0922698380151733
Geita-Sukumaland gst, Tanzania|2820|1436.01831978858|1.41503861581593|48.32|0.53|15.5|9.76597659765977|0.2|8.76|11.59|1.53|0.123089547645912
Geita-Sukumaland gst, Tanzania|2820|1459.61121580123|1.58184840491033|50.41|0.73|14.2|10.6390639063906|0.263959390862944|8.76|9.47|2.53|0.233502538071066
Geita-Sukumaland gst, Tanzania|2820|1445.91824491787|1.54810405010625|47.9|0.55|15.76|9.94599459945995|0.184539676030346|8.86|11.41|1.64|0.102522042239081
Gadwal greenstone belt, India|2825|1428.12588653173|0.964050286876389|53.7858469156179|0.711780482772849|13.6166701052197|10.3620842793997|0.175366205900557|7.98432019806066|10.3775531256447|1.10377553125645|0.639570868578502
Gadwal greenstone belt, India|2825|1417.60366005588|1.12988388073338|52.8671617161716|0.670379537953795|13.4797854785479|9.97933951811023|0.144389438943894|8.12706270627063|10.8395214521452|2.29991749174917|0.391914191419142
Gadwal greenstone belt, India|2825|1475.23703516352|1.51838799879311|51.3827490490388|0.873856276344197|13.0255988485659|11.0857184207163|0.154209931119564|8.57407217024777|11.5554641718927|1.79911586306158|0.246735889791303
Gadwal greenstone belt, India|2825|1571.37477304005|2.20740388686089|51.5513126491647|0.632977067552143|10.6360900695237|13.2627146703464|0.249040157725433|8.69565217391305|11.6530040469026|1.55650098578396|0.197156791532635
Gadwal greenstone belt, India|2825|1320.55678644408|0.61336395275413|53.7074760643716|0.519454063964147|13.7095131391322|7.87509999726801|0.122224485638623|8.86127520880016|11.3770625381951|2.84171929109798|0.0407414952128743
Gadwal greenstone belt, India|2825|1353.17984334899|0.727324478955686|52.7408303103587|0.644901249496171|14.1777509068924|8.53471078667722|0.100765820233777|9.24022571543732|11.3462313583233|2.06569931479242|0.110842402257154
Amphibolites, Fiskenaesset|2900|1449.54750544741|1.7313044987829|46.3|0.56|16.4|9.69396939693969|0.2|8.22|13.96|1.43|0.13
Fiskenæsset basalts, SW Greenland|2970|1591.03717294556|3.2292207901038|47.2|0.92|15.2|13.1413141314131|0.24|8.4|10.8|2.3|0.28
Fiskenæsset basalts, SW Greenland|2970|1571.20670864423|2.86918964582491|47.6|0.99|15.3|12.7812781278128|0.22|8.5|10.8|2|0.22
Fiskenæsset basalts, SW Greenland|2970|1571.37822787061|3.05525050431663|47.5|0.93|15.3|12.7812781278128|0.22|8.6|10.1|2.6|0.46
Fiskenæsset basalts, SW Greenland|2970|1523.64540313706|2.51966399624531|47.6|0.83|16.7|11.7911791179118|0.2|9|9.8|2.4|0.34
Fiskenæsset basalts, SW Greenland|2970|1572.88057027054|3.22972546244077|45.8|0.78|15.7|12.4212421242124|0.21|9.8|11.3|2|0.53
Fiskenæsset basalts, SW Greenland|2970|1473.28947783945|2.28377585698987|47|0.79|16|10.4410441044104|0.18|10.2|10.8|2.9|0.42
Fiskenæsset basalts, SW Greenland|2970|1461.02000555765|2.03123933873031|47.9|0.79|15.9|10.3510351035104|0.17|10.2|10.5|2.8|0.27
Akia terrane, SW Greenland|3000|1539.18201651295|2.72788488508519|46.56|0.7|17.38|11.92|0.21|8.02|9.75|2.43|0.27
Akia terrane, SW Greenland|3000|1469.85262873069|1.7511478534876|48.58|0.55|15.99|10.61|0.18|8.34|11.68|1.7|0.19
Akia terrane, SW Greenland|3000|1474.5004602855|1.85566153223923|48.46|0.58|15.38|10.67|0.19|8.54|10.69|2.17|0.3
Akia terrane, SW Greenland|3000|1489.19567071687|2.17001216611205|46.83|0.52|17.08|10.81|0.18|8.82|10.6|2.08|0.25
Akia terrane, SW Greenland|3000|1494.93439798273|2.04009017966996|46.61|0.37|15.23|10.75|0.18|13.48|9.95|1.24|0.13
Frederikshab Islink SW Greenland|3000|1417.54573793827|1.28372238431385|50.81|1.02|15.05|9.72097209720972|0.18|7.82|10.21|2.51|0.13
Frederikshab Islink SW Greenland|3000|1599.0370270258|3.16805157976791|47.78|1.3|14.65|13.4563456345635|0.19|7.83|9.56|2.49|0.18
Frederikshab Islink SW Greenland|3000|1396.97609704839|0.722212148870709|53.34|0.74|14.48|9.5949594959496|0.16|8.33|10.34|1|0.12
Frederikshab Islink SW Greenland|3000|1477.23277453378|1.95810230631651|48.58|1.03|15.4|10.7650765076508|0.13|8.42|10.84|2.6|0.12
Frederikshab Islink SW Greenland|3000|1460.98813669515|1.54582278861925|49.73|0.77|15.14|10.5850585058506|0.17|8.47|9.86|2.01|0.11
Frederikshab Islink SW Greenland|3000|1471.5376490141|1.96859784788361|47.32|0.64|15.39|10.3870387038704|0.18|8.48|11.75|2.05|0.52
Frederikshab Islink SW Greenland|3000|1647.27602600825|4.01544229458566|45.62|0.86|15.53|14.1584158415842|0.21|8.77|10.14|1.91|0.22
Frederikshab Islink SW Greenland|3000|1505.44043296758|2.14317500154471|48.9|0.69|15.37|11.5211521152115|0.18|8.8|9.64|2.47|0.3
Frederikshab Islink SW Greenland|3000|1437.18173958554|1.70246790171662|46.6|0.5|17.22|9.58595859585959|0.17|9.14|12.66|1.6|0.14
Frederikshab Islink SW Greenland|3000|1565.82796969796|2.82957341245523|47.31|0.85|15.29|12.6192619261926|0.19|9.29|9.24|2.39|0.15
Frederikshab Islink SW Greenland|3000|1503.36011311105|2.09163929641138|48.55|0.85|15.09|11.3951395139514|0.17|9.29|9.71|2.38|0.1
Frederikshab Islink SW Greenland|3000|1352.21962015801|0.803164102000131|49.71|0.46|15.34|8.16381638163816|0.15|10.06|12.16|1.47|0.01
Frederikshab Islink SW Greenland|3000|1517.17675230667|2.07370936259257|47.71|0.65|12.9|11.2871287128713|0.18|14.04|9.44|1.48|0.11
Frederikshab Islink SW Greenland|3000|1512.48449433087|2.15567337031379|45.91|0.65|13.91|10.8550855085509|0.16|14.19|9.05|1.38|0.03
Frederikshab Islink SW Greenland|3000|1578.09341760771|2.28167660671804|46.27|0.58|11.17|11.3141314131413|0.2|16.25|9.67|0.97|0.07
Frederikshab Islink SW Greenland|3000|1603.0353965456|2.68686125256108|44.62|0.66|11.87|11.4671467146715|0.18|16.77|8.47|0.93|0.09
Frederikshab Islink SW Greenland (CA suite)|3000|1460.34428256915|1.6945466859719|49.65|0.94|14.26|10.5580558055806|0.15|9.07|9.26|2.81|0.22
Koolyanobbing gst Yilgarn |3000|1400.6046398326|0.960060314184285|50.71|0.54|13.91|9.26192619261926|0.17|8.6|11.89|1.47|0.18
Koolyanobbing gst Yilgarn |3000|1347.84087046222|0.78476877322549|50.41|0.51|14.63|8.07380738073807|0.16|8.6|12.76|1.89|0.11
Koolyanobbing gst Yilgarn |3000|1380.81271385365|1.0161577384668|52.76|0.33|14.73|9.26192619261926|0.3|9.31|4.74|4.17|0.11
Koolyanobbing gst Yilgarn |3000|1375.06253950983|0.771228191905518|51.85|0.49|14.36|8.94689468946895|0.09|9.64|8.73|1.89|0.1
Koolyanobbing gst Yilgarn |3000|1430.75116721664|1.13020144309297|49.76|0.49|14.08|9.86498649864987|0.22|10.79|10.23|1.1|0.1
Koolyanobbing gst Yilgarn |3000|1405.02350327522|0.554534392831408|51.89|0.43|7.29|9.12691269126913|0.19|13.49|13.47|1.06|0.22
Ujarassuit Gp 1 SW Greenland|3070|1501.21343299635|2.07094694320605|49.3|0.96|15.58|11.4581458145815|0.19|7.99|10.72|2.43|0.06
Ujarassuit Gp 1 SW Greenland|3070|1471.2002418955|1.58249519834022|50.5|0.76|15.3|10.9270927092709|0.19|7.99|11.24|1.63|0.18
Ujarassuit Gp 1 SW Greenland|3070|1510.04384244538|2.2813678397028|47.9|0.7|14.6|11.4041404140414|0.2|11.2|10.17|1.9|0.61
Ujarassuit Gp 2 SW Greenland|3070|1521.42885928982|2.27014869695384|49.3|0.72|14.93|11.9351935193519|0.21|8.44|10.37|2.3|0.44
Ujarassuit Gp 2 SW Greenland|3070|1516.81736446333|2.45036405016907|48.1|0.65|16.03|11.6471647164717|0.2|8.66|10.28|2.7|0.35
Ujarassuit Gp 2 SW Greenland|3070|1443.26768840151|1.3886111851549|49.2|0.4|13.81|10.00900090009|0.21|11.26|12.47|1.32|0.14
Tartoq Gp SW Greenland|3190|1551.93464049377|2.43935964099325|47.97|1.06|14.93|11.7641764176418|0.21|7.7|10.31|1.99|0.55
Tartoq Gp SW Greenland|3190|1371.2969535114|0.908625529439184|50.2|0.68|13.78|10.2340234023402|0.16|7.96|8.55|1.99|0.3
Tartoq Gp SW Greenland|3190|1459.64555483724|1.24424969665633|46.91|0.35|16.55|6.8946894689469|0.12|9.01|13.96|0.77|0.02
Tartoq Gp SW Greenland|3190|1481.49434063009|1.92282578281953|48.84|0.27|15.81|7.1017101710171|0.15|9.42|13.39|1.66|0.5
Tartoq Gp SW Greenland|3190|1540.66645538347|2.23755577411704|48.42|0.74|12.17|10.1800180018002|0.18|10.64|12.17|1.66|0.15
Isua basalts|3750|1530.76425725606|2.04431113367812|51.58|1.03|13.18|12.4932493249325|0.19|8.16|9.22|2.38|0.33
Isua basalts|3750|1540.25169754918|2.15103921943662|53.5|1.08|13.24|13.4023402340234|0.19|8.57|3.16|2.27|2.97
Isua basalts|3750|1386.83752147674|1.20609900532953|50.44|0.49|15.8|9.02790279027903|0.13|8.67|11.64|2.59|0.11
Isua basalts|3750|1454.44750284809|1.13081852936063|52.57|0.58|8.65|10.5310531053105|0.2|13.03|11.05|2.06|0.07
Isua basalts|3750|1509.33792853985|1.91386469374656|51.89|0.68|8.67|11.7821782178218|0.19|13.24|8.31|2.76|1.07
Isua basalts|3750|1500.35719073045|1.51368669315673|51.43|0.52|7.73|11.2511251125113|0.2|14.32|11.15|1.96|0.1
Isua basalts|3750|1611.67425942821|2.78475527822454|48.25|0.6|8.53|12.3942394239424|0.17|16.95|8.91|0.69|2.01
Isua basalts|3750|1854.25683380468|5.63300492299342|43.28|0.4|4.99|12.1962196219622|0.21|27.86|9.59||0.03
Isua boninite-like rocks|3750|1401.861350881|1.36184137909201|50.9723643807574|0.358239508700102|18.474923234391|9.63658290086941|0.15353121801433|8.42374616171955|7.58444216990788|3.18321392016377|0.122824974411464
Isua boninite-like rocks|3750|1394.84755265101|1.26655737292643|51.5714285714286|0.357142857142857|18.3367346938776|9.56116019765242|0.173469387755102|8.45918367346939|7.11224489795919|3.24489795918367|0.102040816326531
Isua boninite-like rocks|3750|1404.32869052555|1.26919685015519|51.2056883759275|0.329760923330585|20.1669414674361|9.86908253892166|0.144270403957131|8.47073371805441|5.81203627370157|1.92704039571311|0.958367683429514
Isua boninite-like rocks|3750|1385.66714837499|1.23339757621166|51.6544302524389|0.352006436689128|18.4551946092729|9.36933681299338|0.130745247913105|8.48838378758926|6.97978477320728|3.39937644574072|0.110630594388012
Isua boninite-like rocks|3750|1424.60376007482|1.49032687202656|50.1318993506494|0.324675324675325|17.9586038961039|10.0091177948964|0.192775974025974|8.96915584415585|8.54301948051948|2.5974025974026|0.142045454545455
Isua boninite-like rocks|3750|1435.09636883533|1.69144645155036|49.5661051556917|0.377743746809597|18.5809086268504|10.2184797346503|0.163348647269015|9.08626850433895|7.61613067891782|3.12404287901991|0.112302194997448
Isua boninite-like rocks|3750|1427.52141045744|1.35405450016307|50.3962943901184|0.329387545033453|18.0854348944931|10.1358566119093|0.195573854863613|9.09933093154915|8.65671641791045|1.84251158003088|0.11322696860525
Isua boninite-like rocks|3750|1441.30903566104|1.73309216699856|49.4589302277646|0.371019272389982|18.5406575285994|10.3431965375245|0.17520354529527|9.11058435535401|7.65742553849325|3.06090899721735|0.113366999896939
Isua boninite-like rocks|3750|1396.92554377256|1.17028411657466|50.1143451143451|0.27027027027027|19.8336798336798|9.56228679000956|0.124740124740125|10.6860706860707|6.54885654885655|1.50727650727651|0.280665280665281
Isua boninite-like rocks|3750|1360.55994357388|1.04930381995296|48.2289657972191|0.233431442200345|17.4769105856084|8.23080379691273|0.213133055922054|10.7378463412159|12.5951486856795|1.15700801786258|0.202983862782909
Isua boninite-like rocks|3750|1292.45595353868|0.459828974592994|52.3436684413822|0.219229564672721|19.0103351080489|7.36685005800924|0.125274036955841|11.3999373629815|7.48512370811149|1.17966384800084|0.0417580123186136
Isua boninite-like rocks|3750|1430.12416107136|1.23205692536116|48.6224489795918|0.204081632653061|14.0918367346939|9.6162677492239|0.244897959183673|12.4591836734694|12.8163265306122|0.755102040816326|0.112244897959184
Isua boninite-like rocks|3750|1433.84815454326|1.25862898095759|50.9286009079653|0.299215848122162|16.642591828312|10.3549356173752|0.175402393726785|12.608336772596|5.86050350804787|1.90879075526207|0.0619067271976888
Isua Outer Arc|3750|1529.04198601742|1.87516888639832|53.11|0.87|10.74|12.6012601260126|0.42|8.86|8.92|2.87|0.13
Isua Outer Arc|3750|1584.61320544414|2.79878398237169|49.61|1.05|11.9|13.4473447344735|0.19|9.99|9.34|1.43|1.51
Isua Outer Arc|3750|1612.5691761303|2.9207016100807|49.28|0.88|10.06|13.7983798379838|0.22|10.91|11.39|0.77|1.13
Isua Outer Arc|3750|1748.72473033614|5.92847569110886|44.82|0.87|11.72|15.9045904590459|0.22|11.36|11.23|0.97|1.09
Isua Outer Arc|3750|1457.73442394108|1.34223843104705|52.17|0.9|10.93|10.7830783078308|0.16|11.7|9.52|1.95|0.63
Isua Outer Arc|3750|1610.82185822264|2.90150648097399|48.27|0.8|9.86|13.2943294329433|0.25|13.49|11.1|1.25|0.17
Isua Outer Arc|3750|1607.5920692904|2.05722956206047|49.38|0.71|8.24|12.2862286228623|0.2|18.09|8.98|0.66|0.06
Isua Outer Arc|3750|1634.64705196302|2.45487533943208|47.93|0.72|8.24|12.3942394239424|0.19|19.25|9.38|0.43|0.04
Isua Outer Arc|3750|1645.67828570566|2.4938369377994|48.24|0.68|7.93|12.6462646264626|0.19|19.52|8.93|0.39|0.04
Isua Outer Arc|3750|1585.52810725597|1.57983463535952|50.18|0.5|6.46|11.5841584158416|0.19|19.57|9.76|0.39|0.04
