Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
MORB glass Atlantic|0|1370.90667766364|1.1113257216758|50.3|0.84|15.99|8.7|0.13|9.91|12.33|2.16|0.09
MORB glass Atlantic|0|1376.15181853593|1.31573760125103|48.2|0.5|16.9|8.5|0.15|9.91|12.8|2.3|0.04
MORB glass Atlantic|0|1376.08962257417|1.33687574280287|48.2|0.51|17|8.51|0.16|10.1|12.7|2.34|0.04
MORB glass Atlantic|0|1370.22683288134|1.09234600431737|49.98|0.77|15.24|8.6|0.13|10.11|12.45|2.23|0.07
MORB glass Atlantic|0|1384.49303751225|1.25968272096557|49.07|0.74|16.44|8.86|0.16|10.15|11.65|2.13|0.07
MORB glass Atlantic|0|1388.81176294708|1.28936844444824|48.81|0.73|16.13|8.89|0.16|10.32|11.56|2.15|0.07
MORB glass Atlantic|0|1379.20261923486|1.27311587125688|49.19|0.85|16.12|8.74|0.14|10.41|11.91|2.35|0.09
MORB glass Atlantic|0|1381.96128765768|1.31988202504375|48.93|0.84|16.14|8.75|0.15|10.49|11.84|2.41|0.09
MORB glass Atlantic|0|1357.98632280807|1.04847981064973|49.57|0.85|15.26|8.28|0.14|10.63|12.11|2.11|0.19
MORB glass Atlantic|0|1351.94949006777|0.973952864198416|49.47|0.82|15.23|8.15|0.14|10.66|12.21|1.94|0.16
NMORB Atlantic |0|1415.38470204462|1.38313358199128|50.35|1.39|15.38|9.62|0.17|7.94|11.4006780821918|2.58624240843786|0.063
NMORB Indian|0|1395.77127231321|1.31347705359014|50.49|1.31|15.79|9.22|0.15|8.04|11.64|2.79|0.064
NMORB Pacific |0|1410.25446078779|1.40023937281022|50.18|1.38|15.55|9.5|0.17|8.05|11.91|2.6|0.11
NMORB Presnall/Hoover 87 |0|1346.13366207084|1.03809694426078|49.51|0.9|16.75|8.05|0.14|9.74|12.5|2.18|0.065
ODP296A|0|1400.06069437332|1.24445597351618|49.03|0.64|16.07|9.12|0.12|9.43|13.66|1.62|0.02
ODP296A|0|1458.05214080896|1.46192256354195|47.76|0.54|13.57|9.30843356643357|0.1|15.59|11.54|1.37|0.02
ODP296A|0|1467.24114416045|1.53047950425302|47.49|0.52|13.06|9.3633986013986|0.1|16.81|11.1|1.32|0.02
Pacific MORB|0|1343.91686357081|1.09646896533631|49.21|0.97|17.54|7.97||9.12|12.35|2.43|0.04
Pacific MORB|0|1344.69012702547|1.10758448095615|49.15|0.96|17.58|8.01||9.58|12.14|2.38|0.04
Pacific MORB|0|1346.08264022439|1.06781186075246|49.85|0.86|17.51|8.12|0.21|9.8|12.92|2.15|0.02
Pacific MORB|0|1351.22549918948|1.20602668831509|48.47|0.88|17.39|8.03|0.16|9.83|12.26|2.47|0.03
