Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Abitibi|2700|46.89|0.56|11.46|11.5211048951049|0.19|17.52|9.1|2.46|0.01
Abitibi|2700|50.93|0.4|9.88|10.0721678321678|0.17|17.53|7.49|2.09|0.16
Abitibi|2700|47.59|0.42|8.53|11.08|0.18|17.57|8.7|1.07|0.06
Abitibi|2700|47.61|0.84|10.47|13.88|0.24|17.57|8.19|0.99|0.06
Abitibi|2700|45.99|0.61|10.42|12.79|0.26|17.7|10.9|1.35|0.04
Abitibi|2700|49.5|0.63|10.77|12.51|0.2|17.8|7.54|0.84|0.02
Abitibi|2700|47.6|0.444|9.56|13.1|0.28|17.8|7.48|0.36|3.1
Abitibi|2700|49.17|0.44|7.58|9.53258741258741|0.18|17.9|9.49|1.25|0.09
Abitibi|2700|47.45|0.56|9.34|10.252027972028|0.19|17.9|8.86|1.16|0.18
Abitibi|2700|43.83|0.53|10.51|11.4311431143114|0.18|17.91|9.44|1.51|0.1
Abitibi|2700|48.95|0.95|8.18|11.759958041958|0.27|17.96|9.15|1.09|0.15
Abitibi|2700|47.96|0.52|9.16|12.446|0.24|18.05|9.89|0.6|0.05
Abitibi|2700|51.69|0.72|7.93|10.2123496503497|0.19|18.06|6.23|1|0.15
Abitibi|2700|50.93|0.37|9.6|10.4408811188811|0.19|18.07|6.9|2.01|0.15
Abitibi|2700|45.7|0.49|9.91|11.2518321678322|0.21|18.1|8.01|1.46|0.07
Abitibi|2700|51.05|0.15|7.02|11.6665874125874|0.25|18.15|9.75|1.15|0.15
Abitibi|2700|54.35|0.55|7.55|10.2167272727273|0.23|18.16|5.2|0.77|0.08
Abitibi|2700|46.5|0.523|11.9|11.85|0.16|18.2|5.09|2.04|3.23
Abitibi|2700|46.5|0.523|11.9|11.85|0.16|18.2|5.09|2.04|3.23
Abitibi|2700|50.13|0.91|13.16|8.82213986013986|0.12|18.3|3.45|0.12|0.09
Abitibi|2700|49.4|0.78|7.6|11.799|0.21|18.45|8.27|1.55|0.05
Abitibi|2700|49.4|0.78|7.6|11.799|0.21|18.45|8.27|1.55|0.05
Abitibi|2700|45.83|0.48|9.73|11.2061206120612|0.18|18.75|8.61|1.21|0.08
Abitibi|2700|47.06|0.49|9.23|12.518|0.27|18.79|9.83|0.74|0.08
Abitibi|2700|48.66|0.5|9.21|11.088|0.22|18.95|8.83|1.24|0.04
Abitibi|2700|46.7|0.481|9.23|11.07|0.2|19|7.71|0.98|4.12
Abitibi|2700|45.51|0.49|9.33|10.9270927092709|0.19|19.01|9.19|0.89|0.05
Ontario|2700|45.59|0.48|9.86|11.1521152115212|0.17|19.35|8.08|1.08|0.13
Dharwar craton|2700|55.89|0.54|4.75|11.8442237762238|0.28|19.39|2.99|0.8|0.08
Dharwar craton|2700|48.49|0.27|9.21|11.24|0.16|19.81|9.05|0.49|0.5
Dharwar craton|2700|47.21|0.38|7.81|10.899|0.18|19.96|8.08|1.07|0.07
Dharwar craton|2700|47.21|0.23|10.44|8.76398601398601|0.31|20.16|8.42|0.95|0.07
Yilgarn|2700|51.31|0.22|5.4|11.75|0.3|20.25|11.12|0.29|0.04
Dharwar craton|2700|48.29|0.28|9.81|10.79|0.16|20.29|8.67|0.47|0.5
Belingwe|2700|45.9|0.497|10.3|12.5|0.2|20.3|7.37|0.47|1.79
Yilgarn|2700|48.5|0.51|5.17|11.5766573426573|0.18|20.39|7.74|0.52|0.7
Wawa Greenstone Belt|2700|47.07|0.43|8.75|12.1405594405594|0.19|20.4|8.75|0.78|0.09
Wawa Greenstone Belt|2700|46.6|0.431|10.2|12.5|0.2|20.4|8.79|0.37|0.04
Wawa Greenstone Belt|2700|46.59|0.431|10.16|12.5|0.2|20.4|8.79|0.37|0.04
Wawa Greenstone Belt|2700|48.76|0.417|8.44|12.085|0.19|20.45|8.58|0.39|0.5
Wawa Greenstone Belt|2700|48.76|0.24|9.32|10.36|0.15|20.54|8.98|0.48|0.5
Wawa Greenstone Belt|2700|47.2|0.173|16|9.98223776223776|0.197|20.7|4.68|0.23|0.006
Wawa Greenstone Belt|2700|43.4|0.51|10.5|12.6|0.19|20.7|10.9|0.72|0.1
Wawa Greenstone Belt|2700|47.62|0.28|9.84|10.86|0.16|20.78|8.73|0.49|0.5
Wawa Greenstone Belt|2700|47.76|0.26|9.54|10.45|0.15|20.88|9.26|0.54|0.5
Wawa Greenstone Belt|2700|45.22|0.25|5.55|8.68|0.21|20.9|19.39|0.23|0.03
Wawa Greenstone Belt|2700|47.71|0.45|8.44|10.918|0.19|20.9|9.63|0.3|0.05
Wawa Greenstone Belt|2700|47.67|0.29|9.77|10.74|0.15|21.01|8.68|0.44|0.5
Wawa Greenstone Belt|2700|47.74|0.27|9.59|10.82|0.16|21.11|8.61|0.47|0.5
Wawa Greenstone Belt|2700|54.46|0.36|4.47|11.4211188811189|0.19|21.3|3.48|0.17|0.03
Wawa Greenstone Belt|2700|51.06|0.51|9.14|10.5|0.17|21.31|6.57|0.62|0.09
Wawa Greenstone Belt|2700|49.3|0.23|7.2|8.37|0.16|21.4|8.9|0.33|0.17
Wawa Greenstone Belt|2700|49|0.26|4.66|8.76117482517483|0.12|21.4|11.1|0.3|0.01
Wawa Greenstone Belt|2700|48.33|0.51|7.17|11.18|0.156|21.4|7.77|0.34|0.06
Wawa Greenstone Belt|2700|48.23|0.39|7.64|11.862|0.26|21.49|8.7|0.2|0.07
Wawa Greenstone Belt|2700|46.87|0.29|9.95|10.9|0.16|21.52|8.6|0.47|0.5
Wawa Greenstone Belt|2700|48.41|0.4|8.12|10.878|0.19|21.6|9.71|0.53|0.01
Wawa Greenstone Belt|2700|49.69|0.4|8.66|11.95|0.21|21.6|7.11|0.33|0.01
Wawa Greenstone Belt|2700|48.95|0.397|7.77|12.1|0.17|21.71|8.74|0.04|0.02
Wawa Greenstone Belt|2700|48.61|0.22|8.78|10.88|0.17|21.72|8.38|0|0.5
Wawa Greenstone Belt|2700|47.46|0.24|9.06|11.09|0.18|21.75|8.59|0.37|0.5
Wawa Greenstone Belt|2700|48.7|0.13|8.6|7.83|0.19|21.9|8|0.7|0.05
Wawa Greenstone Belt|2700|53.5|0.3|3.78|11.511048951049|0.23|21.9|3.51|0.38|0.09
Wawa Greenstone Belt|2700|47.4|0.42|8.2|10.64|0.19|22|8.26|0.62|1.61
Wawa Greenstone Belt|2700|47.13|0.33|7.89|7.05951048951049|0.13|22.04|11.04|0.32|0.08
Wawa Greenstone Belt|2700|46.2|0.37|6.02|11.67|0.17|22.05|8.7|0.68|0.03
Wawa Greenstone Belt|2700|46.2|0.17|6.02|11.7133286713287|0.17|22.05|8.7|0.68|0.03
Wawa Greenstone Belt|2700|46.59|0.32|7.5|9.94|0.42|22.08|10.01|0.3|0.57
Wawa Greenstone Belt|2700|46.84|0.24|9.26|11.03|0.16|22.11|8.81|0.29|0.5
Wawa Greenstone Belt|2700|51.4|0.1|1.01|10.26|0.15|22.2|10.6|0.3|0.01
Wawa Greenstone Belt|2700|46.43|0.38|9.32|7.38325874125874|0.12|22.4|9.15|0.21|0.06
Wawa Greenstone Belt|2700|51.83|0.368|6.65|10.71|0.17|22.47|7.24|0.26|0.19
Wawa Greenstone Belt|2700|46.88|0.24|9.36|11.13|0.17|22.49|8.2|0.26|0.5
Wawa Greenstone Belt|2700|48.3|0.374|7.95|11|0.17|22.7|8.61|0.12|0.02
Wawa Greenstone Belt|2700|52.64|0.29|7|9.94|0.13|22.73|5.27|1.96|0.01
Wawa Greenstone Belt|2700|48.3|0.374|7.95|11.01|0.17|22.74|8.61|0.12|0.02
Wawa Greenstone Belt|2700|48.05|0.38|8.55|10.92|0.18|22.79|8.66|0.42|0.03
Wawa Greenstone Belt|2700|48.81|0.36|7.23|10.56|0.18|22.86|6.8|2.13|0.03
Wawa Greenstone Belt|2700|46.65|0.41|7.22|9.44265734265734|0.15|22.9|7.52|0.69|0.04
Wawa Greenstone Belt|2700|48.3|0.326|6.45|11.7|0.02|22.9|9.14|0.37|0.02
Wawa Greenstone Belt|2700|48.69|0.4|8.01|9.98223776223776|0.2|22.93|8.68|0.12|0.02
Wawa Greenstone Belt|2700|49|0.365|7.49|10.6|0.19|23|8.65|0.23|0.01
Wawa Greenstone Belt|2700|45.6|0.404|8.61|11.8|0.18|23.1|6.23|0.42|2.9
Wawa Greenstone Belt|2700|45.89|0.3|8.62|6.90662937062937|0.14|23.11|10.25|0.23|0.05
Wawa Greenstone Belt|2700|45.07|0.4|9.95|7.27534265734266|0.13|23.12|9.58|0.25|0.09
Wawa Greenstone Belt|2700|47.51|0.36|7.51|11.7501678321678|0.17|23.2|7.64|1.21|0.06
Wawa Greenstone Belt|2700|49.03|0.33|7.27|9.33|0.14|23.63|7.56|2.51|0.16
Wawa Greenstone Belt|2700|49.73|0.33|6.7|10.1762097902098|0.23|23.63|8.6|0.13|0.05
Wawa Greenstone Belt|2700|47.34|0.25|9.27|10.19|0.15|23.67|7.73|0.23|0.5
Wawa Greenstone Belt|2700|46.45|0.35|7.13|11.23|0.182|23.76|7.04|0.45|0.04
Wawa Greenstone Belt|2700|48.61|0.46|7.58|11.94|0.2|23.8|7.35|0.3|0.01
Wawa Greenstone Belt|2700|45.67|0.35|6.87|11.12|0.178|23.8|7.57|0.33|0.04
Wawa Greenstone Belt|2700|50.42|0.35|6.56|10.0721678321678|0.2|23.9|7.1|0.25|0.07
Wawa Greenstone Belt|2700|44.96|0.31|7.44|7.08648951048951|0.13|23.92|11.81|0.37|0.09
Wawa Greenstone Belt|2700|48.25|0.34|8.58|9.497|0.17|23.94|7.08|0.6|0.05
Wawa Greenstone Belt|2700|44.27|0.38|8.83|7.13145454545455|0.12|23.97|10.4|0.32|0.07
Wawa Greenstone Belt|2700|44.92|0.4|8.7|11.28|0.2|23.99|7.18|0.16|0.37
Wawa Greenstone Belt|2700|46.88|0.53|5.75|13.0398601398601|0.23|24|7.55|0.25|0.02
Wawa Greenstone Belt|2700|46|0.34|6.88|10.7|0.18|24.02|6.94|0.8|0.058
Wawa Greenstone Belt|2700|45.23|0.28|9.77|10.68|0.16|24.1|8.09|0.47|0.5
Wawa Greenstone Belt|2700|50.07|0.363|6.56|11.521|0.21|24.15|6.53|0.2|0.22
Wawa Greenstone Belt|2700|48.45|0.33|7.81|10.43|0.18|24.18|8.17|0.39|0.03
Wawa Greenstone Belt|2700|49.3|0.389|7.84|9.86|0.24|24.2|7.19|0.16|0.02
Wawa Greenstone Belt|2700|52.74|0.35|4.56|10.5218181818182|0.17|24.2|1.65|0.22|1.24
Wawa Greenstone Belt|2700|48.1|0.332|6.99|10.6|0.19|24.3|8.55|0.26|0.03
Wawa Greenstone Belt|2700|48.07|0.332|6.99|10.56|0.19|24.32|8.55|0.26|0.03
Wawa Greenstone Belt|2700|47.96|0.364|7.44|11.392|0.2|24.35|7.46|0.64|0.06
Wawa Greenstone Belt|2700|48.72|0.3|9.13|11.3481538461539|0.05|24.36|6.64|0.17|0.05
Wawa Greenstone Belt|2700|52.31|0.17|3.32|9.65|0.3|24.43|8.04|0.18|0.02
Wawa Greenstone Belt|2700|48.17|0.35|7.17|10.1261258741259|0.18|24.46|7.39|0.94|0.05
Wawa Greenstone Belt|2700|48.39|0.33|7.04|9.55956643356643|0.19|24.48|8.61|0.26|0.03
Wawa Greenstone Belt|2700|49.15|0.384|7.45|11.353|0.18|24.51|6.52|0.23|0.05
Wawa Greenstone Belt|2700|49.74|0.37|8.46|11.07|0.09|24.74|2.06|2.59|0.9
Wawa Greenstone Belt|2700|45.8|0.31|6.43|10.439|0.17|24.87|6.72|0.99|0.05
Wawa Greenstone Belt|2700|47.27|0.35|7.95|10.7016783216783|0.2|24.9|7.18|0.22|0.01
Wawa Greenstone Belt|2700|45.06|0.32|6.37|10.38|0.18|25.29|6.57|1.04|0.1
Wawa Greenstone Belt|2700|48.49|0.338|6.77|11.412|0.18|25.3|6.61|0.19|0.55
Wawa Greenstone Belt|2700|49.07|0.26|5.64|9.12|0.19|25.31|8.57|0.16|0.08
Wawa Greenstone Belt|2700|46.57|0.33|6.79|11.1762097902098|0.18|25.32|6.79|2.13|0.11
Wawa Greenstone Belt|2700|47.59|0.343|7.04|11.551|0.19|25.39|7.05|0.63|0.04
Wawa Greenstone Belt|2700|45.51|0.32|6.48|10.48|0.18|25.42|6.6|0.83|0.1
Wawa Greenstone Belt|2700|48.36|0.38|7.34|10.0602377622378|0.21|25.52|7.6|0.08|0.02
Wawa Greenstone Belt|2700|48.4|0.387|7.6|9.77|0.19|25.6|7.28|0.22|0.02
Wawa Greenstone Belt|2700|51.5|0.24|3.8|12.06|0.25|25.7|3.7|0.07|0.02
Wawa Greenstone Belt|2700|46.73|0.32|6.63|11.4531888111888|0.16|25.72|6.79|1.46|0.12
Wawa Greenstone Belt|2700|48.15|0.37|6.93|10.93|0.17|25.8|7.02|0.53|0.07
Wawa Greenstone Belt|2700|47.87|0.33|7.02|11.2262097902098|0.16|25.81|5.5|1.37|0.13
Wawa Greenstone Belt|2700|43.04|0.3|9.65|6.97857342657343|0.11|25.88|9.8|0.26|0.06
Wawa Greenstone Belt|2700|47.47|0.34|6.8|11.541|0.19|26.09|7.14|0.04|0.23
Wawa Greenstone Belt|2700|45.04|0.14|3.61|10.99|0.17|26.1|12.72|0.19|0.02
Wawa Greenstone Belt|2700|45.26|0.29|6.07|10.211|0.17|26.21|6.41|0.78|0.04
Wawa Greenstone Belt|2700|47.6|0.34|6.71|10.23|0.16|26.86|8|0.02|0.03
Wawa Greenstone Belt|2700|47.39|0.327|6.73|11.115|0.19|26.91|6.31|0.2|0.68
Wawa Greenstone Belt|2700|49.18|0.32|7.19|9.87|0.17|26.92|6.31||0.01
Wawa Greenstone Belt|2700|44.6|0.29|5.9|10.19|0.18|26.99|6.11|1.01|0.078
Wawa Greenstone Belt|2700|45.35|0.3|6.08|10.38|0.18|27.02|6.2|0.76|0.042
Wawa Greenstone Belt|2700|46|0.328|7.22|10.9|0.18|27.1|7.53|0.06|0.01
Wawa Greenstone Belt|2700|46.03|0.328|7.22|10.92|0.18|27.1|7.53|0.06|0.01
Wawa Greenstone Belt|2700|50.28|0.21|5.14|8.12|0.22|27.14|9.95|0|0.01
Wawa Greenstone Belt|2700|48.76|0.26|8.89|10.0164475524476|0.13|27.15|5.14|0.26|0.05
Wawa Greenstone Belt|2700|47.34|0.08|8.63|10.0128391608392|0.08|27.18|5.95|0.91|0.02
Wawa Greenstone Belt|2700|49.84|0.34|7.78|9.38|0.11|27.2|5.23|0.08|
Wawa Greenstone Belt|2700|47.9|0.1|8.5|10.2267972027972|0.08|27.3|5.32|0.54|0.01
Wawa Greenstone Belt|2700|47.68|0.317|6.37|10.937|0.17|27.32|6.19|0.14|0.46
Wawa Greenstone Belt|2700|45.51|0.29|5.97|10.185|0.17|27.35|6.15|0.8|0.03
Wawa Greenstone Belt|2700|45|0.27|7.2|8.14825174825175|0.2|27.4|8.1|0.1|0.03
Wawa Greenstone Belt|2700|47.23|0.325|6.56|11.135|0.18|27.42|5.92|0.18|0.66
Wawa Greenstone Belt|2700|44.05|0.31|5.71|10.65|0.18|27.43|6.27|0.55|0.02
Wawa Greenstone Belt|2700|47.2|0.11|8.27|10.2438461538462|0.09|27.48|5.62|0.49|0.01
Wawa Greenstone Belt|2700|47.57|0.338|6.37|11.145|0.19|27.7|5.75|0.18|0.62
Wawa Greenstone Belt|2700|47.4|0.15|8.15|9.93686713286713|0.08|27.74|5.85|0.86|0.01
Wawa Greenstone Belt|2700|46.32|0.15|6.26|7.56932867132867|0.17|27.75|6.33|1.45|0
Wawa Greenstone Belt|2700|47.77|0.298|6.5|10.69|0.17|27.85|5.86|0.02|0.69
Wawa Greenstone Belt|2700|46.74|0.31|6.3|11.185|0.18|27.93|6.32|0.75|0.14
Wawa Greenstone Belt|2700|46.61|0.29|6.25|10.738|0.23|28.06|5.79|0.22|0.45
Wawa Greenstone Belt|2700|47.59|0.292|6.34|10.789|0.17|28.18|5.91|0.16|0.44
Wawa Greenstone Belt|2700|47.39|0.313|6.35|10.967|0.17|28.19|5.76|0.15|0.56
Wawa Greenstone Belt|2700|45.95|0.29|6.2|10.531|0.22|28.34|6.14|0.78|0.19
Wawa Greenstone Belt|2700|47.32|0.304|6.14|11.135|0.18|28.34|5.82|0.26|0.34
Wawa Greenstone Belt|2700|46.16|0.34|5.11|10.341958041958|0.15|28.4|4.57|0.05|0.01
Wawa Greenstone Belt|2700|47.12|0.3|6.11|10.62|0.18|28.5|6.21|0.83|0.09
Wawa Greenstone Belt|2700|45.23|0.29|6.17|11.475|0.21|28.59|5.89|0.6|0.04
Wawa Greenstone Belt|2700|47.66|0.18|8.05|8.15412587412587|0.06|28.66|5.51|0.26|0.03
Wawa Greenstone Belt|2700|46.74|0.28|6.09|10.611|0.18|28.66|6.31|0.71|0.13
Wawa Greenstone Belt|2700|43.63|0.29|5.91|10.23|0.16|28.66|5.71|0.38|0.13
Wawa Greenstone Belt|2700|47.89|0.22|7.48|10.48|0.33|28.67|5.62|0.29|1.72
Wawa Greenstone Belt|2700|46.09|0.27|6.05|10.45|0.23|28.72|6.17|0.71|0.2
Wawa Greenstone Belt|2700|47.41|0.304|6.13|10.898|0.18|28.76|5.67|0.19|0.3
Wawa Greenstone Belt|2700|47.22|0.301|6.11|11.007|0.17|28.85|5.61|0.19|0.4
Wawa Greenstone Belt|2700|47.31|0.16|7.96|9.8468951048951|0.11|28.92|4.15|0.33|0.06
Wawa Greenstone Belt|2700|47.09|0.2|7.83|9.99155244755245|0.11|28.96|4.76|0.2|0.03
Wawa Greenstone Belt|2700|45.58|0.32|6.34|10.72|0.23|29.11|6.1|0.58|0.03
Wawa Greenstone Belt|2700|47.35|0.14|7.69|9.28251748251748|0.12|29.16|4.15|0.39|0.06
Wawa Greenstone Belt|2700|44.3|0.35|6.48|12.72|0.23|29.17|6.59|0.05|0.03
Wawa Greenstone Belt|2700|45.43|0.39|7.25|11.19|0.17|29.21|6.28|0.02|0.03
Wawa Greenstone Belt|2700|46.97|0.297|6.07|10.908|0.17|29.36|5.64|0.15|0.24
Wawa Greenstone Belt|2700|44.3|0.33|5.74|8.94804195804196|0.18|29.4|5.83|0.26|0.02
Wawa Greenstone Belt|2700|46.81|0.295|5.95|10.868|0.17|29.45|5.5|0.15|0.42
Wawa Greenstone Belt|2700|46.66|0.28|6|10.828|0.24|29.45|5.22|0.22|0.25
Wawa Greenstone Belt|2700|44.71|0.3|6.26|10.16|0.11|29.5|6.4|0.41|0.08
Wawa Greenstone Belt|2700|48.09|0.39|7.05|8.98|0.13|29.54|5.89|0.08|0.02
Wawa Greenstone Belt|2700|43.68|0.28|5.68|10.26|0.15|29.87|5.69|0.57|0.07
Wawa Greenstone Belt|2700|43.57|0.28|5.69|10.28|0.15|29.99|5.71|0.6|0.08
Wawa Greenstone Belt|2700|45.39|0.34|6.6|9.919|0.15|30.03|5.59|0.4|0.2
Wawa Greenstone Belt|2700|44.11|0.25|5.06|10.25|0.18|30.16|5.15|0.52|0.047
Wawa Greenstone Belt|2700|51.62|0.17|7.11|7.51675524475524|0.04|30.17|2.31|0.44|0.1
Wawa Greenstone Belt|2700|46.99|0.275|5.58|10.621|0.16|30.23|5.27|0.12|0.37
Wawa Greenstone Belt|2700|46.4|0.04|2.33|10.68|0.2|30.46|8.75|0.1|0.01
Wawa Greenstone Belt|2700|45.85|0.24|5.24|10.414|0.21|30.74|5.85|0.4|0.01
Wawa Greenstone Belt|2700|45.11|0.306|6.43|10.44|0.14|30.79|5.92|0.11|0.01
Wawa Greenstone Belt|2700|45.1|0.306|6.43|10.4|0.14|30.8|5.92|0.11|0.01
Wawa Greenstone Belt|2700|50.45|0.35|6.13|11.82|0.07|30.89|0.22||0.02
Wawa Greenstone Belt|2700|53.52|0.24|5.12|9.6|0.1|31.08|1.42|0.05|0.04
Wawa Greenstone Belt|2700|46.83|0.26|5.49|10.443|0.17|31.13|5.29|0.2|0.05
Wawa Greenstone Belt|2700|45.42|0.27|5.63|9.955|0.2|31.46|5.65|0.31|0.01
Wawa Greenstone Belt|2700|45.64|0.315|6.27|9.16|0.14|31.48|6.37|0.03|0.01
Wawa Greenstone Belt|2700|45.6|0.315|6.27|9.16|0.14|31.5|6.37|0.03|0.01
Wawa Greenstone Belt|2700|47.7|0.14|6.08|8.46546853146853|0.19|31.62|4.06|0.64|0.41
Wawa Greenstone Belt|2700|44.22|0.24|4.65|8.52537062937063|0.17|31.7|5.59|0.39|0.02
Wawa Greenstone Belt|2700|46.5|0.17|5.75|9.59379020979021|0.06|31.8|4.5|0.61|0.06
Wawa Greenstone Belt|2700|46.9|0.221|5.08|10.621|0.14|31.81|5.05|0.02|0.03
Wawa Greenstone Belt|2700|43.87|0.34|6.58|11.64|0.19|31.81|5.37|0.03|0.04
Wawa Greenstone Belt|2700|45.6|0.2|5.19|6.43155244755245|0.19|31.83|9.42|0.62|0.25
Wawa Greenstone Belt|2700|44.95|0.28|5.84|9.641|0.18|31.94|5.68|0.52|0.06
Wawa Greenstone Belt|2700|44.95|0.3|5.84|9.65|0.18|31.94|5.68|0.52|0.06
Wawa Greenstone Belt|2700|47.41|0.21|4.26|8.32|0.12|32.57|8.25|0.03|0.02
Wawa Greenstone Belt|2700|47.04|0.29|5.47|9.95|0.17|32.71|4.46|0.02|0.06
Wawa Greenstone Belt|2700|46.52|0.23|4.88|10.404|0.12|32.84|4.81|0.04|0.02
Wawa Greenstone Belt|2700|46.41|0.2|4.73|10.393|0.16|33.2|4.67|0.04|0.09
Wawa Greenstone Belt|2700|44.05|0.2|4.98|10.6604475524476|0.15|33.28|6.47|0.01|0.01
Wawa Greenstone Belt|2700|52.74|0.06|1.01|11.39|0.17|33.3|8.72|0.18|0.01
Wawa Greenstone Belt|2700|48.92|0.16|3.6|9.22|0.12|33.41|4.26|0.06|0.01
Wawa Greenstone Belt|2700|44.06|0.26|5.24|9.08|0.18|33.46|7.62|0.01|0.08
Wawa Greenstone Belt|2700|43.2|0.31|5.93|10.06|0.16|33.58|6.75|0.01|0.01
Wawa Greenstone Belt|2700|43.57|0.27|5.3|9.92|0.13|33.79|7.12|0.01|0.01
Wawa Greenstone Belt|2700|49.5|0.27|0.97|9.76956643356644|0.04|33.83|3.02|0.82|0.06
Wawa Greenstone Belt|2700|45.81|0.16|4.78|6.81237762237762|0.14|34.39|4.08|0.3|0.04
Wawa Greenstone Belt|2700|47.15|0.3|4.82|8.94804195804196|0.09|34.4|0.98|0.06|0.01
Wawa Greenstone Belt|2700|43.93|0.25|6.19|7.42|0.31|34.41|4.96|0.14|0.01
Wawa Greenstone Belt|2700|49.29|0.16|4.09|11.0734685314685|0.08|34.41|0.43|0.05|0.01
Wawa Greenstone Belt|2700|43.8|0.2|5.14|8.23|0.17|34.65|8.89|0.05|0.01
Wawa Greenstone Belt|2700|47.32|0.05|3.71|8.32083916083916|0.18|35.09|3.14|0.89|0.5
Wawa Greenstone Belt|2700|44.34|0.21|4.27|9.946|0.2|35.11|4.32|0.15|0.08
Taishan Greenstone Belt|2704|51.12|0.55|6.22|10.0272027972028|0.25|22.54|8.01|0.05|0.05
Taishan Greenstone Belt|2704|50.77|0.5|6.49|9.86532867132867|0.24|22.75|8.12|0.05|0.05
Taishan Greenstone Belt|2704|48.32|0.35|8.18|9.11890909090909|0.18|22.82|9.38|0.1|0.5
Taishan Greenstone Belt|2704|49.12|0.29|7.95|8.8760979020979|0.16|23.02|9.26|0.09|0.21
Taishan Greenstone Belt|2704|47.95|0.31|8.86|9.2627972027972|0.17|23.46|8.67|0.08|0.18
Taishan Greenstone Belt|2704|48.78|0.25|7.07|9.2538041958042|0.15|25.02|8.32|0.05|0.05
Taishan Greenstone Belt|2704|46.48|0.29|7.46|9.80237762237762|0.17|29.39|5.25|0.03|0.01
Taishan Greenstone Belt|2704|46.61|0.28|7.2|9.79338461538462|0.17|29.54|5.25|0.04|0.01
Taishan Greenstone Belt|2704|47.6|0.19|4.97|8.93005594405594|0.16|30.59|6.18|0.06|0.3
Taishan Greenstone Belt|2704|46.59|0.24|5.7|8.24658741258741|0.13|30.7|6.93|0.03|0.52
Taishan Greenstone Belt|2704|47.82|0.19|4.97|8.39047552447553|0.16|30.97|6.27|0.06|0.21
Taishan Greenstone Belt|2704|47.8|0.14|3.4|9.74841958041958|0.19|31.15|6.12|0.08|0.27
Taishan Greenstone Belt|2704|46.29|0.24|5.4|8.66925874125874|0.14|31.2|6.55|0.03|0.5
Taishan Greenstone Belt|2704|46.44|0.2|4.97|8.80415384615385|0.15|31.34|6.62|0.02|0.47
Taishan Greenstone Belt|2704|46.91|0.18|4.66|9.40668531468532|0.17|31.45|5.85|0.06|0.24
Taishan Greenstone Belt|2704|45.97|0.2|5.12|9.16387412587413|0.15|31.49|6.38|0.03|0.47
Taishan Greenstone Belt|2704|46.06|0.2|4.9|9.10092307692308|0.16|31.61|6.47|0.02|0.46
Taishan Greenstone Belt|2704|45.95|0.2|4.94|9.28977622377622|0.15|31.67|6.25|0.02|0.48
Taishan Greenstone Belt|2704|45.88|0.21|5.17|9.09193006993007|0.14|31.79|6.19|0.03|0.47
Taishan Greenstone Belt|2704|45.88|0.17|4.79|9.89230769230769|0.17|32.35|5.27|0.08|0.26
Taishan Greenstone Belt|2704|45.44|0.23|5.55|8.93005594405594|0.14|32.45|5.83|0.02|0.41
Taishan Greenstone Belt|2704|45.26|0.2|5.08|9.58654545454546|0.16|32.67|5.58|0.02|0.38
Taishan Greenstone Belt|2704|44.78|0.16|4.07|11.1333426573427|0.14|33.33|4.79|0.02|0.33
Taishan Greenstone Belt|2704|44.68|0.16|4.03|10.8905314685315|0.16|33.41|5.05|0.02|0.37
Abitibi|2706|51.1|0.569|8.68|11.511048951049|0.232|17.2|8.75|1.53|0.021
Abitibi|2706|49.2|0.543|7.25|10.4318881118881|0.243|20.4|10.1|0.211|0.116
Abitibi|2706|49.3|0.345|7.01|11.3311888111888|0.224|22.4|9.09|0.005|0.005
Abitibi|2706|50.8|0.404|6.02|10.7916083916084|0.183|26.3|5.17|0.005|0.005
Abitibi|2711|46.05|0.41|8.37|11.7718461538462|0.21|24.47|8.32|0.44|0.15
Abitibi|2714|48.12|0.58|10.74|11.788|0.22|17.38|9.1|1.7|0.1
Abitibi|2714|47.85|0.49|9.83|12.48|0.22|18.47|8.02|0.69|0.04
Abitibi|2714|46.4|0.48|9.62|11.6909090909091|0.241|18.6|12|0.567|0.105
Abitibi|2714|46.95|0.52|10.1|11.421|0.2|18.9|9.5|0.76|0.01
Abitibi|2714|48.12|0.52|9.92|11.952|0.23|19.1|8.76|1.07|0.06
Abitibi|2714|45.85|0.49|9.36|11.754|0.24|19.26|10.85|0.18|0.03
Abitibi|2714|45.6|0.44|9.52|11.45|0.23|20.67|10.87|0.55|0.04
Abitibi|2714|45.29|0.55|10.49|12.788|0.21|20.73|8.65|0.97|0.03
Abitibi|2714|45.4|0.45|9.3|11.421|0.19|22.4|9.03|0.01|0.05
Abitibi|2714|44.99|0.46|8.86|12.829|0.21|22.87|8.61|0.85|0.02
Abitibi|2714|45.3|0.4|8.85|11.45|0.25|23.05|8.78|0.54|0.09
Abitibi|2714|45.4|0.52|8.72|11.799|0.21|23.33|8.86|0.96|0.13
Abitibi|2714|45.85|0.35|8.35|10.94|0.22|23.45|8.74|0.83|0.15
Abitibi|2714|45.6|0.409|8.38|11.1513286713287|0.18|23.5|8.52|0.45|0.07
Abitibi|2714|45.6|0.409|8.38|11.1513286713287|0.18|23.5|8.52|0.45|0.07
Abitibi|2714|46.7|0.444|8.49|10.8815384615385|0.214|23.6|8.99|0.289|0.043
