Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Hotinvaara, Pulju gst, Finland|1890|47.6|0.72|6.01|10.7016783216783|0.2|21.9|9.41|0.28|0.07
Sibao Gp, Yangtze craton|1900|49.2|0.51|10.4|12.2304895104895|0.19|17.3|7.03|0.76|0.69
Sibao Gp, Yangtze craton|1900|49.1|0.52|10.3|12.4103496503497|0.19|17.5|6.99|0.66|0.59
Sibao Gp, Yangtze craton|1900|49.4|0.52|10.2|12.2304895104895|0.19|17.7|6.96|0.58|0.55
Sibao Gp, Yangtze craton|1900|49.4|0.52|10.3|11.8707692307692|0.19|17.9|6.96|0.65|0.57
Cape Smith|1920|51.89|0.68|9.54|10.66|0.15|17.01|9.56|0|0.15
Cape Smith|1920|46.2|0.58|9.31|11.7808391608392|0.21|17.3|10.3|0.54|0.06
Cape Smith|1920|50.43|0.68|10.55|9.83|0.16|17.53|9.02|1.24|0.53
Cape Smith|1920|46.07|0.78|10.94|13.57|0.26|17.67|10.22|0|0.41
Cape Smith|1920|48.05|0.6|9.68|12.24|0.22|17.99|10.71|0.56|0.06
Cape Smith|1920|46.2|0.72|9.7|12.3|0.15|18|11.4|0.98|0.08
Cape Smith|1920|47.93|0.55|8.71|10.8|0.2|19.63|10.65|0.74|0.75
Cape Smith|1920|45.16|0.66|11.02|12.49|0.18|20.46|9.6|0.1|0.02
Cape Smith|1920|48.34|0.34|7.65|12.07|0.21|22.08|9|0.26|0.03
Cape Smith|1920|46.3|0.51|8.17|11.08|0.2|22.48|11.06|0.12|0.04
Cape Smith|1920|44.7|0.45|6.7|12.9|0.15|27.6|6.7|0.08|0.11
Cape Smith|1920|45.9|0.45|7.1|11.1|0.15|28.1|6.3|0.56|0.07
Bogoin|2000|50.64|0.42|7.57|9.23|0.22|18.04|9.85|0.88|0.06
Bogoin|2000|54.53|0.37|12.36|9.70345454545455|0.23|18.28|4.54|0.11|0.11
Bogoin|2000|51.7|0.42|4.75|10.5038321678322|0.24|20.06|10.54|0.32|0.08
